struct_id,human,animal
5522,,True
157,True,True
859,True,True
863,True,True
5523,,True
5524,,True
865,True,True
866,True,True
873,True,True
5525,,True
890,True,True
906,True,True
170,True,True
912,True,True
2188,True,True
5526,,True
5527,,True
930,True,True
945,True,True
5528,,True
953,True,True
961,True,True
962,True,True
173,True,True
966,True,True
5529,,True
5530,,True
5531,,True
1005,True,True
5532,,True
5533,,True
5534,,True
1048,True,True
1057,True,True
5535,,True
1058,True,True
1064,True,True
3187,True,True
5536,,True
3742,True,True
1103,True,True
5537,,True
5538,,True
5539,,True
4536,True,True
4350,True,True
5540,,True
1164,True,True
5541,,True
5542,,True
5543,,True
4548,True,True
5544,,True
5545,,True
1204,True,True
1209,True,True
192,True,True
5546,,True
5547,,True
4928,True,True
1233,True,True
3244,True,True
1257,True,True
1258,True,True
5548,,True
5549,,True
4265,True,True
5550,,True
5551,,True
1319,True,True
4302,True,True
2958,True,True
5552,,True
1331,True,True
5553,,True
1356,True,True
5554,,True
198,True,True
4262,True,True
5555,,True
1363,True,True
3957,True,True
1385,True,True
1388,True,True
4213,True,True
1389,True,True
3281,True,True
5556,,True
5557,,True
5558,,True
5559,,True
5560,,True
5003,True,True
5561,,True
681,True,True
5562,,True
4962,True,True
1493,True,True
1500,True,True
5563,,True
1513,True,True
3972,True,True
1519,True,True
1523,True,True
1528,True,True
5564,,True
5565,,True
1561,True,True
2646,True,True
1579,True,True
73,True,True
5566,,True
1582,True,True
1585,True,True
5567,,True
5568,,True
5569,,True
5570,,True
5571,,True
4290,True,True
5572,,True
5573,,True
5574,,True
1641,True,True
1650,True,True
1655,True,True
1667,True,True
5575,,True
1672,True,True
5576,,True
1676,True,True
1700,True,True
260,True,True
3344,True,True
1747,True,True
1768,True,True
5577,,True
5578,,True
1800,True,True
5579,,True
1816,True,True
1832,True,True
5580,,True
5581,,True
5582,,True
5286,True,True
1857,True,True
1877,True,True
1765,True,True
1883,True,True
5583,,True
5584,,True
458,True,True
4247,True,True
5585,,True
1897,True,True
5586,,True
5587,,True
1950,True,True
4251,True,True
4238,True,True
5588,,True
1974,True,True
1977,True,True
5589,,True
5590,,True
3400,True,True
1990,True,True
5591,,True
5592,,True
5593,,True
5594,,True
5595,,True
4235,True,True
2041,True,True
281,True,True
2042,True,True
5596,,True
4347,True,True
2082,True,True
4459,True,True
2083,True,True
3424,True,True
2095,True,True
2105,True,True
5597,,True
5598,,True
2145,True,True
2149,True,True
2152,True,True
5599,,True
2171,True,True
2188,True,True
5600,,True
5601,,True
5602,,True
4246,True,True
5603,,True
5604,,True
5191,True,True
5605,,True
3483,True,True
4519,True,True
4206,True,True
5606,,True
2231,True,True
2241,True,True
2245,True,True
2247,True,True
4451,True,True
2246,True,True
2251,True,True
2253,True,True
2267,True,True
2274,True,True
2279,True,True
56,True,True
5607,,True
2284,True,True
2294,True,True
5608,,True
2302,True,True
5609,,True
2999,True,True
2331,True,True
2332,True,True
5610,,True
5611,,True
349,True,True
5612,,True
5613,,True
5614,,True
5615,,True
5616,,True
2428,True,True
5617,,True
2429,True,True
4274,True,True
5618,,True
353,True,True
5196,True,True
2439,True,True
4142,True,True
4198,True,True
4782,True,True
5619,,True
2498,True,True
2502,True,True
2468,True,True
4623,True,True
4667,True,True
2477,True,True
2481,True,True
5620,,True
2500,True,True
2501,True,True
5621,,True
2510,True,True
2502,True,True
2512,True,True
5622,,True
354,True,True
2529,True,True
5623,,True
2583,True,True
5624,,True
2597,True,True
2607,True,True
4146,True,True
2610,True,True
2611,True,True
5625,,True
5626,,True
2621,True,True
3595,True,True
2626,True,True
2633,True,True
5627,,True
4930,True,True
5628,,True
2656,True,True
5629,,True
5630,,True
5631,,True
5632,,True
2666,True,True
5633,,True
5634,,True
2695,True,True
3617,True,True
5635,,True
5636,,True
2726,True,True
5637,,True
5638,,True
1787,True,True
2733,True,True
2742,True,True
2746,True,True
2749,True,True
2755,True,True
2762,True,True
2968,True,True
5639,,True
5640,,True
5641,,True
5642,,True
5643,,True
4028,True,True
3613,True,True
5644,,True
3659,True,True
2860,True,True
5645,,True
4343,True,True
5646,,True
432,True,True
5647,,True
4256,True,True
633,True,True
5648,,True
4744,True,True
4659,True,True
5649,,True
1336,True,True
1745,True,True
1770,True,True
74,True,True
434,True,True
5650,,True
2402,True,True
2475,True,True
5651,,True
5652,,True
5653,,True
299,True,True
3050,True,True
5654,,True
454,True,True
5655,,True
5656,,True
486,True,True
5657,,True
5658,,True
5659,,True
5660,,True
518,True,True
5661,,True
526,True,True
5662,,True
555,True,True
5663,,True
571,True,True
575,True,True
586,True,True
3088,True,True
103,True,True
589,True,True
5150,True,True
597,True,True
3092,True,True
607,True,True
609,True,True
614,True,True
624,True,True
624,True,True
5196,True,True
105,True,True
5040,True,True
666,True,True
669,True,True
673,True,True
678,True,True
690,True,True
701,True,True
5664,,True
5665,,True
5666,,True
133,True,True
719,True,True
720,True,True
731,True,True
4443,True,True
4931,True,True
5667,,True
760,True,True
5668,,True
5669,,True
5670,,True
5671,,True
5672,,True
5673,,True
822,True,True
5674,,True
824,True,True
3920,True,True
5675,,True
835,True,True
845,True,True
851,True,True
