struct_id,parent_id
27,178
33,35
47,182
60,181
64,12
88,89
91,58
92,58
101,120
102,212
199,124
204,79
208,34
280,187
284,126
294,142
299,108
349,13
350,13
351,13
352,13
353,13
354,13
372,51
372,53
382,42
389,218
469,179
475,72
480,175
507,104
508,104
532,91
534,93
536,90
555,154
560,92
566,69
567,69
614,103
627,67
641,115
650,202
655,124
679,24
694,51
696,51
697,205
716,30
729,73
734,210
766,157
771,134
776,75
793,215
796,28
798,110
821,33
822,33
825,14
826,14
827,14
828,14
829,14
845,60
896,77
922,122
938,158
965,144
971,155
1005,118
1012,134
1049,18
1051,18
1052,18
1055,105
1058,3
1059,3
1060,3
1061,3
1063,3
1064,3
1066,199
1067,173
1092,168
1106,51
1106,53
1108,51
1108,52
1116,146
1128,186
1145,213
1152,208
1178,191
1189,195
1191,149
1198,63
1204,65
1205,65
1213,22
1214,22
1220,68
1225,8
1240,125
1242,170
1245,112
1247,177
1349,141
1354,206
1387,1
1389,1
1390,1
1405,133
1409,9
1410,9
1413,172
1424,117
1445,53
1551,223
1552,136
1553,187
1567,158
1611,129
1667,197
1673,207
1680,160
1692,131
1769,41
1770,41
1771,41
1772,41
1817,123
1827,121
1831,193
1832,194
1859,85
1880,15
1881,15
1882,15
1892,164
1899,209
1911,53
1915,51
1916,53
1918,78
1957,32
1963,29
1964,29
1985,82
1988,126
2001,222
2037,36
2060,147
2063,189
2077,102
2089,45
2108,119
2155,67
2193,139
2204,51
2217,87
2218,187
2243,37
2244,37
2244,38
2246,37
2247,37
2248,37
2249,37
2250,37
2251,37
2252,37
2256,150
2280,182
2280,184
2287,17
2290,224
2325,219
2340,109
2345,40
2356,116
2372,10
2401,51
2401,53
2408,138
2420,99
2444,51
2455,185
2474,111
2493,188
2525,126
2525,167
2539,187
2539,188
2554,187
2574,88
2586,113
2593,6
2608,11
2609,220
2625,96
2688,49
2688,51
2689,49
2689,53
2690,49
2712,106
2721,49
2721,94
2726,47
2727,47
2794,97
2852,135
2866,114
2877,46
3034,143
3113,11
3115,31
3130,39
3209,48
3212,52
3212,53
3232,66
3234,153
3238,43
3248,204
3249,161
3261,95
3265,60
3355,53
3379,53
3450,70
3451,70
3452,70
3482,3
3488,37
3506,59
3602,53
3708,67
3708,100
3749,44
3820,37
3864,127
3892,55
3909,24
3911,217
3920,14
3943,4
3944,25
3959,1
4040,12
4049,28
4067,47
4075,46
4146,11
4161,137
4169,76
4176,156
4177,64
4189,148
4191,196
4195,49
4197,10
4207,107
4213,1
4226,80
4303,54
4322,83
4331,71
4347,102
4368,53
4368,145
4390,67
4390,98
4398,175
4402,81
4412,78
4437,51
4451,37
4452,140
4453,55
4454,11
4456,1
4458,166
4459,102
4470,180
4485,151
4487,198
4493,19
4496,21
4497,3
4498,23
4504,1
4512,107
4554,8
4569,1
4606,152
4609,11
4644,57
4647,56
4653,101
4662,67
4662,99
4667,13
4677,84
4681,16
4764,53
4779,183
4811,211
4822,214
4824,62
4832,130
4857,7
4871,198
4873,2
4901,27
4944,6
4947,5
4960,27
4962,20
4976,47
4981,27
4985,27
5002,27
5012,132
5019,221
5029,159
5032,160
5045,163
5052,165
5057,27
5065,171
5069,221
5077,176
5099,221
5145,203
5150,101
5166,221
5193,1
5214,216
5227,220
5228,221
5261,223
5280,225
5283,226
5301,228
5312,227
5377,229
5401,230
5448,231
5476,232
5502,233
5544,63
5564,236
5576,234
5631,235
5636,171
5675,14
5688,237
5725,238
5726,207
